Incident Address Display,Borough,Community Board,Police Precinct,Status,Resolution Action
545 MYRTLE AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,Open,Site downloaded for cleaning
545 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
545 WEST 125 STREET,MANHATTAN,09 MANHATTAN,Precinct 26,Closed,Cleaning crew dispatched.  Property cleaned.
545 WEST 145 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
545 WEST 162 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
546 40 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
546 BARRETTO STREET,BRONX,02 BRONX,Precinct 41,Open,Unspecified
546 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
546 ISHAM STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Open,Unspecified
546 MACON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,Closed,Cleaning crew dispatched.  Property cleaned.
546 WEST 160 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Open,Unspecified
546 WEST 180 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Open,Site downloaded for cleaning
547 6 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
547 AVENUE OF THE AMERICAS,MANHATTAN,04 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched. No graffiti on property.
547 EAST 180 STREET,BRONX,06 BRONX,Precinct 48,Closed,Cleaning crew dispatched.  Property cleaned.
547 MORGAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,Open,Site downloaded for cleaning
547 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Pending,Cleaning crew dispatched.  Property cleaned.
547 WEST 159 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Open,Site downloaded for cleaning
547 WEST 180 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
547 WEST 186 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched. No graffiti on property.
548 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
548 PENNSYLVANIA AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
548 WEST 22 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,Closed,Cleaning crew dispatched.  Property cleaned.
548 WEST 53 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,Closed,Cleaning crew dispatched. No graffiti on property.
549 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
549 ISHAM STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
549 WEST 180 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
55 4 PLACE,BROOKLYN,06 BROOKLYN,Precinct 76,Closed,Cleaning crew dispatched.  Property cleaned.
55 AVENUE D,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
55 AVENUE D,MANHATTAN,03 MANHATTAN,Precinct 9,Open,Site downloaded for cleaning
55 CHURCH STREET,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,Closed,Cleaning crew dispatched.  Property cleaned.
55 DELANCEY STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
55 EAST 124 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched. No graffiti on property.
55 EAST 179 STREET,BRONX,05 BRONX,Precinct 46,Closed,Cleaning crew dispatched.  Property cleaned.
55 FOURTH PLACE,BROOKLYN,06 BROOKLYN,Precinct 76,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
55 HANCOCK STREET,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
55 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched.  Property cleaned.
55 LEXINGTON AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,Closed,Cleaning crew dispatched.  Property cleaned.
55 LOUISA STREET,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
55 LOUISA STREET,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
55 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
55 MACDOUGAL STREET,BROOKLYN,03 BROOKLYN,Precinct 81,Closed,Cleaning crew dispatched.  Property cleaned.
55 NASSAU AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,Open,Site downloaded for cleaning
55 ROCKAWAY AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
55 WEST 192 STREET,BRONX,07 BRONX,Precinct 52,Closed,Cleaning crew dispatched.  Property cleaned.
55 WEST 192 STREET,BRONX,07 BRONX,Precinct 52,Open,Site downloaded for cleaning
55 WEST 84 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,Closed,Cleaning crew dispatched. No graffiti on property.
55 WESTCHESTER SQUARE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
55 WILSON AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
55-01 98 STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
55-01 98 STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
55-02 103 STREET,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
55-03 103 STREET,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
55-03 VAN DOREN STREET,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
55-05 103 STREET,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
55-05 VAN CLEEF STREET,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
55-08 HASPEL STREET,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
55-10 VAN DOREN STREET,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
55-14 103 STREET,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
55-14 103 STREET,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
55-17 84 STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
55-18 VAN DOREN STREET,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
55-19 84 STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
55-20 103 STREET,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
55-21 84 STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
55-23 84 STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
55-27 108 STREET,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
55-35 84 STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
55-42 SEABURY STREET,QUEENS,04 QUEENS,Precinct 110,Open,Site downloaded for cleaning
55-45 84 STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
55-47 84 STREET,QUEENS,04 QUEENS,Precinct 110,Open,Unspecified
55-55 58 STREET,QUEENS,02 QUEENS,Precinct 108,Closed,Cleaning crew dispatched.  Property cleaned.
55-60 58 STREET,QUEENS,02 QUEENS,Precinct 108,Closed,Cleaning crew dispatched.  Property cleaned.
550 DEKALB AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
550 MANHATTAN AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,Open,Unspecified
550 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,Closed,Cleaning crew dispatched.  Property cleaned.
550 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,Closed,Cleaning crew dispatched.  Property cleaned.
550 WEST 126 STREET,MANHATTAN,09 MANHATTAN,Precinct 26,Closed,Cleaning crew dispatched.  Property cleaned.
550 WEST 126 STREET,MANHATTAN,09 MANHATTAN,Precinct 26,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
550 WEST 126 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched. No graffiti on property.
550 WEST 153 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
550 WEST 153 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
550 WEST 155 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,Open,Unspecified
550 WEST 156 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
550 WEST 157 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
550 WEST 161 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched. No graffiti on property.
550 WEST 172 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
550 WEST 174 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
550 WEST 21 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,Closed,Cleaning crew dispatched. No graffiti on property.
550 WEST 21 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,Closed,Cleaning crew dispatched.  Property cleaned.
5502A 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Open,Unspecified
5504 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
5508 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
551 EAST 12 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched. No graffiti on property.
551 EAST 12 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
551 MIDLAND AVENUE,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,Open,Site downloaded for cleaning
551 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Open,Site to be cleaned.
551 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
551 WEST 159 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Open,Site downloaded for cleaning
551 WEST 174 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
551 WEST 182 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Open,Site downloaded for cleaning
551 WEST 184 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
551 WEST 185 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched. No graffiti on property.
5510 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
5516 16 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,Open,Site downloaded for cleaning
552 ACADEMY STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
552 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
552 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
552 LA GUARDIA PLACE,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
552 ST MARKS AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,Closed,Cleaning crew dispatched.  Property cleaned.
552 WEST 158 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
552 WEST 158 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Open,Site downloaded for cleaning
552 WEST 158 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
5527 NEW UTRECHT AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,Open,Site downloaded for cleaning
553 COZINE AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Open,Site downloaded for cleaning
553 EAST 26 STREET,BROOKLYN,14 BROOKLYN,Precinct 70,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
553 WALTON AVENUE,BRONX,04 BRONX,Precinct 44,Pending,Cleaning crew dispatched.  Property cleaned.
553 WEST 159 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
553 WEST 207 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
554 DEKALB AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
554 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
554 FORT WASHINGTON AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
554 FT WASHINGTON AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
554 WEST 126 STREET,MANHATTAN,09 MANHATTAN,Precinct 26,Closed,Cleaning crew dispatched.  Property cleaned.
554 WEST 50 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,Closed,Cleaning crew dispatched.  Property cleaned.
555 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
555 6 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 13,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
555 COLUMBUS AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,Open,Site downloaded for cleaning
555 EAST 141 STREET,BRONX,01 BRONX,Precinct 40,Open,Unspecified
555 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
555 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
555 ST JOHNS PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,Closed,Cleaning crew dispatched.  Property cleaned.
555 TIMPSON PLACE,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
555 WEST 160 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched. No graffiti on property.
555 WEST 170 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Open,Unspecified
555 WEST 171 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched. No graffiti on property.
555 WEST 171 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched. No graffiti on property.
555 WEST 171 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched. No graffiti on property.
555 WEST 207 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
555 WEST 207 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched. No graffiti on property.
556 39 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
556 PROSPECT AVENUE,BRONX,02 BRONX,Precinct 41,Open,Site downloaded for cleaning
556 RIVERSIDE DRIVE,MANHATTAN,09 MANHATTAN,Precinct 26,Open,Unspecified
556 WEST 140 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched. No graffiti on property.
556 WEST 158 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
556 WEST 191 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
557 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 1,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
557 WEST 125 STREET,MANHATTAN,09 MANHATTAN,Precinct 26,Closed,Cleaning crew dispatched. No graffiti on property.
557 WEST 159 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
557 WEST 207 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
558 DEKALB AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Open,Unspecified
558 HALSEY STREET,BROOKLYN,03 BROOKLYN,Precinct 81,Open,Unspecified
558 HALSEY STREET,BROOKLYN,03 BROOKLYN,Precinct 81,Open,Unspecified
558 HALSEY STREET,BROOKLYN,03 BROOKLYN,Precinct 81,Open,Unspecified
558 MORRIS AVENUE,BRONX,01 BRONX,Precinct 40,Closed,Cleaning crew dispatched.  Property cleaned.
558 RALPH AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,Closed,Cleaning crew dispatched.  Property cleaned.
558 VAN NEST AVENUE,BRONX,11 BRONX,Precinct 49,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
558 WEST 161 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Open,Site downloaded for cleaning
558 WEST 180 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
558 WEST 21 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,Closed,Cleaning crew dispatched.  Property cleaned.
559 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
559 LEXINGTON AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,Closed,Cleaning crew dispatched.  Property cleaned.
559 WEST 159 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
559 WEST 161 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Open,Unspecified
559 WEST 172 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched. No graffiti on property.
559 WEST 180 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
559 WEST 184 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
559 WEST 185 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
559 WEST 186 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
56 ALBANY AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
56 BOX STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
56 GOLD STREET,BROOKLYN,02 BROOKLYN,Precinct 84,Open,Site downloaded for cleaning
56 HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
56 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
56 MARKET STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched. No graffiti on property.
56 PIKE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Open,Site downloaded for cleaning
56 PRINCE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Cannot locate property.
56 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
56 VAN SINDEREN AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,Open,Unspecified
56 WEST 119 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched. No graffiti on property.
56 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched.  Property cleaned.
56-00 GRAND AVENUE,QUEENS,05 QUEENS,Precinct 104,Open,Unspecified
56-01 84 STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
56-02 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
56-02 ROOSEVELT AVENUE,QUEENS,02 QUEENS,Precinct 108,Closed,Cleaning crew dispatched.  Property cleaned.
56-04 MARATHON PARKWAY,QUEENS,11 QUEENS,Precinct 111,Closed,Cleaning crew dispatched.  Property cleaned.
56-05 84 STREET,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
56-09 56 DRIVE,QUEENS,02 QUEENS,Precinct 108,Open,Unspecified
56-10 64 STREET,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
56-11 56 DRIVE,QUEENS,02 QUEENS,Precinct 108,Open,Unspecified
56-11 56 DRIVE,QUEENS,Unspecified QUEENS,Unspecified,Open,Unspecified
56-12 MARATHON PARKWAY,QUEENS,11 QUEENS,Precinct 111,Open,Unspecified
56-13 56 DRIVE,QUEENS,02 QUEENS,Precinct 108,Open,Unspecified
56-15 JUNCTION BOULEVARD,QUEENS,04 QUEENS,Precinct 110,Open,Unspecified
56-15 QUEENS BOULEVARD,QUEENS,02 QUEENS,Precinct 108,Closed,Cleaning crew dispatched.  Property cleaned.
56-15 QUEENS BOULEVARD,QUEENS,02 QUEENS,Precinct 108,Closed,Cleaning crew dispatched.  Property cleaned.
56-17 JUNCTION BOULEVARD,QUEENS,04 QUEENS,Precinct 110,Open,Unspecified
56-18 WOODSIDE AVENUE,QUEENS,02 QUEENS,Precinct 108,Closed,Cleaning crew dispatched.  Property cleaned.
56-20 251 STREET,QUEENS,11 QUEENS,Precinct 111,Open,Site downloaded for cleaning
56-20 59 STREET,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
56-20 WOODSIDE AVENUE,QUEENS,02 QUEENS,Precinct 108,Closed,Cleaning crew dispatched.  Property cleaned.
56-25 FLUSHING AVENUE,QUEENS,05 QUEENS,Precinct 104,Open,Unspecified
56-25 FLUSHING AVENUE,QUEENS,05 QUEENS,Precinct 104,Open,Unspecified
56-33 WALDRON STREET,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
56-34 HAMILTON PLACE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
56-47 WALDRON STREET,QUEENS,04 QUEENS,Precinct 110,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
56-55 HAMILTON PLACE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
56-56 59 STREET,QUEENS,05 QUEENS,Precinct 104,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
56-65 RUST STREET,QUEENS,02 QUEENS,Precinct 108,Closed,Cleaning crew dispatched.  Property cleaned.
560 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
560 DE KALB AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
560 MORRIS AVENUE,BRONX,01 BRONX,Precinct 40,Open,Site downloaded for cleaning
560 RIVERSIDE DRIVE,MANHATTAN,09 MANHATTAN,Precinct 26,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
560 STERLING PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,Closed,Cleaning crew dispatched.  Property cleaned.
560 STERLING PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,Closed,Cleaning crew dispatched.  Property cleaned.
560 WEST 163 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched. No graffiti on property.
560 WEST 169 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
560 WEST 181 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched. No graffiti on property.
560 WEST 193 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Open,Site downloaded for cleaning
5601 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,Closed,Cleaning crew dispatched.  Property cleaned.
5602 19 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
5602 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
5602 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
5602 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
5602 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,Closed,Cleaning crew dispatched.  Property cleaned.
5606 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
561 CLINTON STREET,BROOKLYN,06 BROOKLYN,Precinct 76,Closed,Cleaning crew dispatched.  Property cleaned.
561 PRESIDENT STREET,BROOKLYN,06 BROOKLYN,Precinct 78,Closed,Cleaning crew dispatched.  Property cleaned.
561 WEST 152 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
561 WEST 157 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
561 WEST 180 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched. No graffiti on property.
5610 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,Open,Site downloaded for cleaning
5623 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
563 86 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,Closed,Cleaning crew dispatched.  Property cleaned.
563 CAULDWELL AVENUE,BRONX,01 BRONX,Precinct 40,Closed,Cleaning crew dispatched.  Property cleaned.
563 LENOX ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,Closed,Cleaning crew dispatched.  Property cleaned.
563 WEST 139 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
563 WEST 184 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,Open,Site downloaded for cleaning
